asset,theme,region,currency,current_value_usd,target_value_usd,trade_usd,target_weight_pct,action,fixed,thesis
Cash,Liquidez,United States,USD,"USD 26,854","USD 23,555","-USD 3,299",10.00,Liquidez,yes,Preservar liquidez estrategica e cumprir o piso de 5% com folga.
XOVR,Liquidez,United States,USD,"USD 2,111","USD 9,422","USD 7,311",4.00,Liquidez,yes,Aumentar equivalente defensivo para reduzir volatilidade sem sair de caixa.
ECOPET_BOND,Liquidez,Colombia,USD,"USD 6,028","USD 7,067","USD 1,038",3.00,Liquidez,yes,Manter renda fixa em USD como camada defensiva do modelo.
AMZN,Nucleo qualidade,United States,USD,"USD 12,085","USD 12,794",USD 709,5.43,Manter,no,"Manter qualidade em cloud, ads e consumo, apenas aparando excesso pequeno."
GOOGL,Nucleo qualidade,United States,USD,"USD 9,030","USD 12,794","USD 3,764",5.43,Comprar,no,"Aumentar para peso de nucleo pela combinacao de IA, search e cloud."
MSFT,Nucleo qualidade,United States,USD,"USD 19,214","USD 15,353","-USD 3,861",6.52,Reduzir,no,"Preservar posicao core em cloud/IA, mas reduzir concentracao para financiar convexidade."
NVDA,Nucleo qualidade,United States,USD,"USD 39,516","USD 20,471","-USD 19,045",8.69,Reduzir,no,"Continuar exposto a lideranca em IA, porem com disciplina de tamanho."
IBM,Nucleo qualidade,United States,USD,"USD 28,625","USD 10,235","-USD 18,390",4.35,Reduzir,no,Reduzir ativo defensivo de menor convexidade para liberar capital para teses do estudo.
JPM,Nucleo qualidade,United States,USD,"USD 33,407","USD 15,353","-USD 18,054",6.52,Reduzir,no,"Manter banco de qualidade, mas reduzir peso elevado e dependencia de financeiro tradicional."
RTX,Defesa e espaco,United States,USD,"USD 5,753","USD 6,880","USD 1,126",2.92,Manter,no,"Reforcar defesa core, com menor upside que RKLB e KTOS, mas melhor perfil defensivo."
KTOS,Defesa e espaco,United States,USD,"USD 3,182","USD 9,173","USD 5,991",3.89,Comprar,no,"Aumentar exposicao a drones, sistemas autonomos e guerra eletronica."
SHLD,Defesa e espaco,United States,USD,"USD 9,180","USD 9,173",-USD 7,3.89,Manter,no,Manter ETF de defesa como exposicao diversificada ao tema geopolitico.
URA,Uranio e nuclear,United States,USD,"USD 4,318","USD 10,863","USD 6,545",4.61,Comprar,no,Aumentar bloco de uranio pelo ciclo nuclear e pela demanda de energia para IA.
COPX,Minerais criticos,United States,USD,"USD 7,529","USD 8,208",USD 679,3.48,Manter,no,Reforcar cobre como tese de eletrificacao global com risco mais diversificado.
RKLB,Defesa e espaco,United States,USD,"USD 6,004","USD 13,760","USD 7,756",5.84,Comprar,no,"Aumentar uma das top 5 do estudo, com execucao operacional real em espaco e defesa."
ASTS,Defesa e espaco,United States,USD,USD 0,"USD 9,173","USD 9,173",3.89,Comprar,no,"Iniciar exposicao a infraestrutura celular via satelite, uma das maiores optionalidades."
NXE,Uranio e nuclear,United States,USD,USD 0,"USD 8,690","USD 8,690",3.69,Comprar,no,"Iniciar posicao em ativo tier-1 de uranio, destacado como qualidade geologica superior."
SMR,Uranio e nuclear,United States,USD,USD 0,"USD 6,518","USD 6,518",2.77,Comprar,no,"Iniciar exposicao a SMRs, tese nuclear com opcionalidade estrategica."
ARR.AX,Minerais criticos,Australia,AUD,USD 0,"USD 4,104","USD 4,104",1.74,Comprar,no,Adicionar rare earths geopolitico dos EUA em tamanho controlado pelo risco elevado.
MP,Minerais criticos,United States,USD,USD 0,"USD 4,104","USD 4,104",1.74,Comprar,no,"Adicionar rare earths em producao nos EUA, com menor risco relativo que ARR."
UUUU,Uranio e nuclear,United States,USD,USD 0,"USD 4,345","USD 4,345",1.84,Comprar,no,"Adicionar hibrido de uranio, monazita e rare earths para ampliar a cesta estrategica."
SGML,Minerais criticos,Brazil,USD,USD 0,"USD 4,104","USD 4,104",1.74,Comprar,no,Adicionar litio Brasil/ESG como opcionalidade de supply chain critica.
QBTS,Cauda especulativa,United States,USD,"USD 11,750","USD 2,897","-USD 8,853",1.23,Reduzir,no,"Reduzir quantum para tamanho de cesta, diminuindo risco de diluicao e volatilidade extrema."
RGTI,Cauda especulativa,United States,USD,"USD 3,736","USD 2,173","-USD 1,563",0.92,Reduzir,no,"Manter opcionalidade em quantum, mas com peso menor e compativel com risco binario."
LAES,Cauda especulativa,United States,USD,"USD 3,100","USD 2,173",-USD 927,0.92,Manter,no,Manter microcap de seguranca/semis apenas como componente pequeno da cesta.
NAUFF,Uranio e nuclear,United States,USD,"USD 2,980","USD 2,173",-USD 807,0.92,Manter,no,"Reduzir para posicao pequena, mantendo opcionalidade no ciclo nuclear sem concentrar risco."
